prefix,bits,organization,registry
0000CB,24,COMPU-SHACK ELECTRONIC GMBH,MA-L
0000CC,24,"DENSAN CO., LTD.",MA-L
0000CD,24,Allied Telesis Labs Ltd,MA-L
0000CE,24,MEGADATA CORP.,MA-L
0000CF,24,HAYES MICROCOMPUTER PRODUCTS,MA-L
0000D0,24,DEVELCON ELECTRONICS LTD.,MA-L
0000D1,24,ADAPTEC INCORPORATED,MA-L
0000D2,24,"SBE, INC.",MA-L
0000D3,24,WANG LABORATORIES INC.,MA-L
0000D4,24,PURE DATA LTD.,MA-L
0000D5,24,MICROGNOSIS INTERNATIONAL,MA-L
0000D6,24,PUNCH LINE HOLDING,MA-L
0000D7,24,DARTMOUTH COLLEGE,MA-L
0000D8,24,"Novell, Inc.",MA-L
0000D9,24,NIPPON TELEGRAPH & TELEPHONE,MA-L
0000DA,24,ATEX,MA-L
0000DB,24,British Telecommunications plc,MA-L
0000DC,24,HAYES MICROCOMPUTER PRODUCTS,MA-L
0000DD,24,TCL INCORPORATED,MA-L
0000DE,24,CETIA,MA-L
0000DF,24,BELL & HOWELL PUB SYS DIV,MA-L
0000E0,24,QUADRAM CORP.,MA-L
0000E1,24,GRID SYSTEMS,MA-L
0000E2,24,ACER TECHNOLOGIES CORP.,MA-L
0000E3,24,INTEGRATED MICRO PRODUCTS LTD,MA-L
0000E4,24,IN2 GROUPE INTERTECHNIQUE,MA-L
0000E5,24,SIGMEX LTD.,MA-L
0000E6,24,APTOR PRODUITS DE COMM INDUST,MA-L
0000E7,24,Star Gate Technologies,MA-L
0000E8,24,ACCTON TECHNOLOGY CORP.,MA-L
0000E9,24,"ISICAD, INC.",MA-L
0000EA,24,UPNOD AB,MA-L
0000EB,24,MATSUSHITA COMM. IND. CO. LTD.,MA-L
0000EC,24,MICROPROCESS,MA-L
0000ED,24,APRIL,MA-L
0000EE,24,"NETWORK DESIGNERS, LTD.",MA-L
0000EF,24,KTI,MA-L
0000F0,24,"Samsung Electronics Co.,Ltd",MA-L
0000F1,24,MAGNA COMPUTER CORPORATION,MA-L
0000F2,24,SPIDER COMMUNICATIONS,MA-L
0000F3,24,GANDALF DATA LIMITED,MA-L
0000F4,24,"Allied Telesis, Inc.",MA-L
0000F5,24,DIAMOND SALES LIMITED,MA-L
0000F6,24,APPLIED MICROSYSTEMS CORP.,MA-L
